Código Ámbito,Ámbito,Código área,Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"""Honduras"",""2000-2002"",""21.9%""",,,,,,,,,,,,,,
"""Honduras"",""2001-2003"",""21.2%""",,,,,,,,,,,,,,
"""Honduras"",""2002-2004"",""21.7%""",,,,,,,,,,,,,,
"""Honduras"",""2003-2005"",""22.2%""",,,,,,,,,,,,,,
"""Honduras"",""2004-2006"",""22.3%""",,,,,,,,,,,,,,
"""Honduras"",""2005-2007"",""21.8%""",,,,,,,,,,,,,,
"FS,""Datos de Seguridad Alimentaria"",""95"",""Honduras"",""6121"",""Valor"",""210041"",""Prevalencia de la subalimentación (%) (promedio de 3 años)"",""20062008"",""2006-2008"",""%"",""21"",""E"",""Valor estimado"",""""",,,,,,,,,,,,,,
"FS,""Datos de Seguridad Alimentaria"",""95"",""Honduras"",""6121"",""Valor"",""210041"",""Prevalencia de la subalimentación (%) (promedio de 3 años)"",""20072009"",""2007-2009"",""%"",""20.8"",""E"",""Valor estimado"",""""",,,,,,,,,,,,,,
"FS,""Datos de Seguridad Alimentaria"",""95"",""Honduras"",""6121"",""Valor"",""210041"",""Prevalencia de la subalimentación (%) (promedio de 3 años)"",""20082010"",""2008-2010"",""%"",""18.3"",""E"",""Valor estimado"",""""",,,,,,,,,,,,,,
"FS,""Datos de Seguridad Alimentaria"",""95"",""Honduras"",""6121"",""Valor"",""210041"",""Prevalencia de la subalimentación (%) (promedio de 3 años)"",""20092011"",""2009-2011"",""%"",""15.8"",""E"",""Valor estimado"",""""",,,,,,,,,,,,,,
"FS,""Datos de Seguridad Alimentaria"",""95"",""Honduras"",""6121"",""Valor"",""210041"",""Prevalencia de la subalimentación (%) (promedio de 3 años)"",""20102012"",""2010-2012"",""%"",""13.4"",""E"",""Valor estimado"",""""",,,,,,,,,,,,,,
"FS,""Datos de Seguridad Alimentaria"",""95"",""Honduras"",""6121"",""Valor"",""210041"",""Prevalencia de la subalimentación (%) (promedio de 3 años)"",""20112013"",""2011-2013"",""%"",""13.4"",""E"",""Valor estimado"",""""",,,,,,,,,,,,,,
"FS,""Datos de Seguridad Alimentaria"",""95"",""Honduras"",""6121"",""Valor"",""210041"",""Prevalencia de la subalimentación (%) (promedio de 3 años)"",""20122014"",""2012-2014"",""%"",""14.2"",""E"",""Valor estimado"",""""",,,,,,,,,,,,,,
"FS,""Datos de Seguridad Alimentaria"",""95"",""Honduras"",""6121"",""Valor"",""210041"",""Prevalencia de la subalimentación (%) (promedio de 3 años)"",""20132015"",""2013-2015"",""%"",""14.6"",""E"",""Valor estimado"",""""",,,,,,,,,,,,,,
"FS,""Datos de Seguridad Alimentaria"",""95"",""Honduras"",""6121"",""Valor"",""210041"",""Prevalencia de la subalimentación (%) (promedio de 3 años)"",""20142016"",""2014-2016"",""%"",""14.5"",""E"",""Valor estimado"",""""",,,,,,,,,,,,,,
"FS,""Datos de Seguridad Alimentaria"",""95"",""Honduras"",""6121"",""Valor"",""210041"",""Prevalencia de la subalimentación (%) (promedio de 3 años)"",""20152017"",""2015-2017"",""%"",""13.8"",""E"",""Valor estimado"",""""",,,,,,,,,,,,,,
"FS,""Datos de Seguridad Alimentaria"",""95"",""Honduras"",""6121"",""Valor"",""210041"",""Prevalencia de la subalimentación (%) (promedio de 3 años)"",""20162018"",""2016-2018"",""%"",""13.2"",""E"",""Valor estimado"",""""",,,,,,,,,,,,,,
"FS,""Datos de Seguridad Alimentaria"",""95"",""Honduras"",""6121"",""Valor"",""210041"",""Prevalencia de la subalimentación (%) (promedio de 3 años)"",""20172019"",""2017-2019"",""%"",""13.1"",""E"",""Valor estimado"",""""",,,,,,,,,,,,,,
